epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
313	0.001388	30.923843	0.898479	6.39	0.00006177	random	96x192,192x384,384x768
314	0.001489	30.213550	0.893270	5.91	0.00006120	random	96x192,192x384,384x768
315	0.001423	30.765090	0.894952	6.12	0.00006062	random	96x192,192x384,384x768
316	0.001485	31.292478	0.898417	5.81	0.00006005	random	96x192,192x384,384x768
317	0.001561	31.527468	0.900092	5.34	0.00005948	random	96x192,192x384,384x768
318	0.001499	31.740154	0.899569	5.52	0.00005891	random	96x192,192x384,384x768
319	0.001405	30.927459	0.898224	5.94	0.00005834	random	96x192,192x384,384x768
320	0.001524	30.852928	0.896369	5.15	0.00005777	random	96x192,192x384,384x768
321	0.001428	29.679200	0.895034	5.28	0.00005721	random	96x192,192x384,384x768
322	0.001541	31.332756	0.898166	5.66	0.00005664	random	96x192,192x384,384x768
323	0.001482	31.158376	0.897192	6.62	0.00005608	random	96x192,192x384,384x768
324	0.001513	30.285443	0.897192	6.31	0.00005552	random	96x192,192x384,384x768
325	0.001482	31.279698	0.898590	5.39	0.00005497	random	96x192,192x384,384x768
326	0.001444	31.694552	0.898658	5.71	0.00005441	random	96x192,192x384,384x768
327	0.001449	32.153418	0.899861	5.21	0.00005386	random	96x192,192x384,384x768
328	0.001473	29.445354	0.891861	6.11	0.00005330	random	96x192,192x384,384x768
329	0.001523	30.997238	0.896279	5.82	0.00005275	random	96x192,192x384,384x768
330	0.001369	31.345468	0.899735	5.54	0.00005220	random	96x192,192x384,384x768
331	0.001378	31.462438	0.899708	5.20	0.00005166	random	96x192,192x384,384x768
332	0.001489	30.745946	0.896575	6.24	0.00005111	random	96x192,192x384,384x768
333	0.001507	30.896245	0.900714	5.39	0.00005057	random	96x192,192x384,384x768
334	0.001517	30.326313	0.893175	5.36	0.00005003	random	96x192,192x384,384x768
335	0.001476	30.876633	0.897471	6.13	0.00004949	random	96x192,192x384,384x768
336	0.001486	31.485114	0.898726	5.29	0.00004895	random	96x192,192x384,384x768
337	0.001443	31.747545	0.900167	5.84	0.00004842	random	96x192,192x384,384x768
