epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
205	0.031031	30.440134	0.880671	5.27	0.00012801	random	96x192,192x384,384x768
206	0.032755	28.058888	0.876412	5.12	0.00012741	random	96x192,192x384,384x768
207	0.031574	30.183470	0.876109	5.66	0.00012681	random	96x192,192x384,384x768
208	0.032379	30.024608	0.880558	5.60	0.00012620	random	96x192,192x384,384x768
209	0.031968	30.138995	0.881636	6.19	0.00012560	random	96x192,192x384,384x768
210	0.031414	29.686785	0.878526	5.59	0.00012499	random	96x192,192x384,384x768
211	0.032370	30.410554	0.883117	5.32	0.00012438	random	96x192,192x384,384x768
212	0.030593	29.655433	0.878395	5.36	0.00012377	random	96x192,192x384,384x768
213	0.030652	29.546398	0.882159	4.90	0.00012316	random	96x192,192x384,384x768
214	0.030770	30.491018	0.884058	6.11	0.00012255	random	96x192,192x384,384x768
215	0.030439	30.253829	0.881405	6.50	0.00012194	random	96x192,192x384,384x768
216	0.029897	30.754161	0.883271	6.55	0.00012133	random	96x192,192x384,384x768
217	0.030305	29.155324	0.876261	5.29	0.00012072	random	96x192,192x384,384x768
218	0.029263	29.240418	0.880133	6.13	0.00012010	random	96x192,192x384,384x768
219	0.029896	28.843528	0.880832	4.26	0.00011949	random	96x192,192x384,384x768
220	0.031459	28.403645	0.876623	5.56	0.00011887	random	96x192,192x384,384x768
221	0.030220	29.581310	0.880482	5.68	0.00011826	random	96x192,192x384,384x768
222	0.030736	29.000900	0.878206	5.75	0.00011764	random	96x192,192x384,384x768
223	0.031379	29.658239	0.881250	5.40	0.00011702	random	96x192,192x384,384x768
224	0.031563	30.122449	0.881341	6.65	0.00011641	random	96x192,192x384,384x768
225	0.029087	29.567473	0.879447	6.03	0.00011579	random	96x192,192x384,384x768
226	0.030961	29.483904	0.883637	5.76	0.00011517	random	96x192,192x384,384x768
227	0.030248	30.731262	0.883135	5.47	0.00011455	random	96x192,192x384,384x768
228	0.030541	30.621987	0.883614	5.64	0.00011393	random	96x192,192x384,384x768
229	0.030002	30.319047	0.884953	6.43	0.00011331	random	96x192,192x384,384x768
